B2M	IMMUNITY				1					1		2		
BCL2	APOPTOSIS			15		1	1				1		1	
CARD11	NFKB		3	1								1		
CD79B	BCR				2									
CIITA	IMMUNITY	1												
CREBBP	BCR		1	1		1	2							
EP300	BCR	1	1	1	1	1		1	1	1	1	1		
EZH2	BCR					1								
GNA13	APOPTOSIS		1			3			1					
IRF4	NFKB				1									
ITPKB	BCR			1										1
KMT2D	BCR									1	1		2	
MFHAS1	APOPTOSIS										1			
MYC	APOPTOSIS			1										2
MYD88	NFKB	1							1			2		
NOTCH1	NOTCH					1								
NOTCH2	NOTCH									1				
PIM1	NFKB	11		1	2									1
RYR2	APOPTOSIS									1				1
SGK1	MAP KINASE			1					1			6		1
SMARCA4	BCR									1				
SOCS1	JAK/STAT			2	1							1		5
STAT6	JAK/STAT												1	
TNFAIP3	NFKB				1									
TNFRSF14	IMMUNITY			1		1								
TP53	APOPTOSIS	1		2			1						1	
		10010006	10010012	10010014	10010024	10040020	10090001	10090007	10090011	10090013	10400005	10440010	10460004	10460015
