Sample	Run	TiTv
10010006-H19424-g-0	19CAPPSEQ007_DLBCL	1.44
10040020-H26638-c-2	19CAPPSEQ008_DLBCL	1.65
10010014-H3731-c-0	19-CAPPSeq-5-cf	1.66
10040020-H24561-c-1	19CAPPSEQ008_DLBCL	1.71
10010012-H2237-g-0	19CAPPSEQ007_DLBCL	1.79
10040020-H21217-c-0	19CAPPSEQ008_DLBCL	1.82
10440010-H31478-c-0	ACCEPT-Cf	1.82
10010024-H27176-c-0	19CAPPSEQ008_DLBCL	1.9
10010006-H23564-c-2	ACCEPT-Cf	1.96
10010014-H6036-c-1	19-CAPPSeq-5-cf	1.96
10010026-H30277-g-0	19CAPPSEQ007_DLBCL	2
10040020-H2319-c-3	19CAPPSEQ008_DLBCL	2.04
10090023-H25954-c-0	19CAPPSEQ008_DLBCL	2.04
10010014-H8033-c-2	19-CAPPSeq-5-cf	2.05
10010012-H6615-c-2	ACCEPT-Cf	2.08
10090001-H13539-g-0	19CAPPSEQ007_DLBCL	2.08
10090011-H32165-c-0	ACCEPT-Cf	2.09
10090023-H28510-c-1	19CAPPSEQ008_DLBCL	2.09
10010014-H22658-c-3	19-CAPPSeq-5-cf	2.1
10010028-H35380-c-0	19CAPPSEQ009_DLBCL	2.13
10440010-H1798-c-2	ACCEPT-Cf	2.17
10010006-H21802-c-1	ACCEPT-Cf	2.19
10090023-H30654-c-2	19CAPPSEQ008_DLBCL	2.19
10440010-H15654-c-3	ACCEPT-Cf	2.2
10010012-H2236-c-0	ACCEPT-Cf	2.24
10010014-H3272-g-0	19CAPPSEQ007_DLBCL	2.24
10400009-H31477-g-0	19CAPPSEQ007_DLBCL	2.25
10090023-H8370-c-3	19CAPPSEQ008_DLBCL	2.29
10010006-H4615-c-3	ACCEPT-Cf	2.32
10010012-H20580-c-3	ACCEPT-Cf	2.32
10010012-H4218-c-1	ACCEPT-Cf	2.32
10090001-H25891-c-3	19CAPPSEQ009_DLBCL	2.33
10440010-H33358-c-1	ACCEPT-Cf	2.33
10090001-H13538-c-0	19-CAPPSeq-5-cf	2.35
10090013-H22931-c-3	19-CAPPSeq-5-cf	2.35
10010028-H2623-c-2	19CAPPSEQ009_DLBCL	2.38
10090011-H18007-c-3	19-CAPPSeq-5-cf	2.38
10460004-H19078-c-1	ACCEPT-Cf	2.41
10010006-H18839-g-0	19CAPPSEQ007_DLBCL	2.42
10090001-H17975-c-2	19CAPPSEQ009_DLBCL	2.45
10010029-H6103-g-0	19CAPPSEQ007_DLBCL	2.46
10010028-H137-c-1	19CAPPSEQ009_DLBCL	2.47
10090001-H16039-c-1	19-CAPPSeq-5-cf	2.47
10460004-H32031-c-3	19-CAPPSeq-5-cf	2.48
10010027-H35990-c-1	19CAPPSEQ009_DLBCL	2.5
10090025-H30844-c-1	19CAPPSEQ009_DLBCL	2.5
10090011-H2981-c-2	19-CAPPSeq-5-cf	2.52
10460022-H34466-c-3	19CAPPSEQ008_DLBCL	2.52
SCAN067-SCAN067-c-0	Untitled from 190321_NB552023_0004_AH55YVBGXB	2.52
10090011-H643-c-1	ACCEPT-Cf	2.57
10010024-H29436-c-1	19CAPPSEQ008_DLBCL	2.58
10010006-H18838-c-0	ACCEPT-Cf	2.59
10090011-H32166-g-0	19CAPPSEQ007_DLBCL	2.59
10090013-H8204-c-2	19-CAPPSeq-5-cf	2.65
10460004-H16527-c-0	19-CAPPSeq-5-cf	2.67
10090013-H3139-g-0	19CAPPSEQ007_DLBCL	2.68
10460022-H27835-c-1	19CAPPSEQ008_DLBCL	2.7
10090013-H3138-c-0	19-CAPPSeq-5-cf	2.72
10460022-H25388-c-0	19CAPPSEQ008_DLBCL	2.72
10090025-H33095-c-2	19CAPPSEQ009_DLBCL	2.73
10400008-H24161-g-0	19CAPPSEQ007_DLBCL	2.75
10440010-H31479-g-0	19CAPPSEQ007_DLBCL	2.75
10090013-H6158-c-1	19-CAPPSeq-5-cf	2.76
10090025-H27445-c-0	19CAPPSEQ009_DLBCL	2.76
10400005-H21161-c-1	ACCEPT-Cf	2.8
SCAN061-SCAN061-c-0	Untitled from 190321_NB552023_0004_AH55YVBGXB	2.8
10460015-H13440-c-0	19CAPPSEQ008_DLBCL	2.81
10010024-H9061-c-3	19CAPPSEQ008_DLBCL	2.84
10090007-H26048-c-2	ACCEPT-Cf	2.87
10460004-H21001-c-2	19-CAPPSeq-5-cf	2.88
10460004-H16528-g-0	19CAPPSEQ007_DLBCL	2.89
10460022-H29964-c-2	19CAPPSEQ008_DLBCL	2.89
10010027-H539-c-2	19CAPPSEQ009_DLBCL	3
10400005-H18923-c-0	19-CAPPSeq-5-cf	3.06
10010027-H32577-c-0	19CAPPSEQ009_DLBCL	3.07
10460015-H33712-c-3	19CAPPSEQ008_DLBCL	3.11
10010024-H31762-c-2	19CAPPSEQ008_DLBCL	3.13
10090007-H24313-c-1	19CAPPSEQ009_DLBCL	3.23
10090007-H6232-c-3	ACCEPT-Cf	3.25
10400005-H18924-g-0	19CAPPSEQ007_DLBCL	3.28
10400005-H4928-c-3	19-CAPPSeq-5-cf	3.31
10090007-H21802-c-0	19CAPPSEQ009_DLBCL	3.33
10400005-H23055-c-2	19-CAPPSeq-5-cf	3.47
10090007-H21804-g-0	19CAPPSEQ007_DLBCL	3.67
10460015-H15640-c-1	19CAPPSEQ008_DLBCL	4.15
10460015-H17828-c-2	19CAPPSEQ008_DLBCL	4.31
